id,class,start_frame,end_frame,start_xy,end_xy,turn
46,truck,1,3,"(216, 304)","(216, 306)",unknown
30,person,1,8,"(476, 241)","(480, 248)",straight
23,bus,1,10,"(583, 342)","(589, 345)",straight
67,truck,10,14,"(214, 309)","(212, 310)",straight
73,car,12,24,"(163, 249)","(148, 256)",straight
39,truck,1,29,"(384, 166)","(384, 163)",straight
47,motorcycle,3,29,"(483, 264)","(491, 267)",straight
106,motorcycle,24,30,"(158, 313)","(155, 316)",straight
105,car,24,31,"(210, 317)","(208, 319)",straight
77,person,13,32,"(296, 260)","(294, 274)",straight
21,motorcycle,1,33,"(298, 279)","(297, 298)",straight
16,bus,1,34,"(470, 173)","(469, 176)",straight
35,truck,1,42,"(678, 393)","(687, 405)",straight
124,truck,29,43,"(175, 15)","(179, 14)",straight
31,motorcycle,1,47,"(486, 260)","(504, 274)",straight
24,car,1,48,"(325, 168)","(318, 191)",straight
37,bus,1,48,"(171, 17)","(182, 13)",straight
40,person,1,49,"(106, 282)","(93, 296)",straight
238,bus,52,52,"(479, 206)","(479, 206)",unknown
147,motorcycle,36,54,"(98, 302)","(90, 301)",straight
42,car,1,55,"(258, 130)","(255, 131)",straight
236,car,51,56,"(623, 363)","(627, 366)",straight
33,car,1,58,"(222, 26)","(231, 19)",straight
237,bus,52,59,"(498, 80)","(497, 81)",straight
265,car,60,61,"(630, 368)","(630, 368)",unknown
26,bus,1,62,"(684, 402)","(693, 415)",straight
38,person,1,62,"(764, 126)","(764, 127)",straight
202,motorcycle,47,65,"(94, 311)","(85, 308)",straight
288,truck,64,65,"(634, 369)","(634, 370)",unknown
203,car,47,69,"(327, 154)","(324, 158)",straight
281,person,63,69,"(640, 414)","(643, 419)",straight
245,car,54,70,"(13, 235)","(25, 210)",straight
45,bus,1,72,"(478, 204)","(473, 168)",straight
305,truck,71,72,"(201, 344)","(200, 345)",unknown
310,motorcycle,72,76,"(127, 351)","(124, 341)",straight
307,car,71,78,"(640, 375)","(646, 379)",straight
27,person,1,79,"(578, 113)","(577, 111)",straight
321,truck,78,84,"(301, 378)","(302, 379)",straight
349,bus,87,88,"(655, 382)","(656, 382)",unknown
332,car,83,89,"(124, 286)","(121, 291)",straight
41,motorcycle,1,96,"(511, 269)","(525, 289)",straight
380,car,95,96,"(305, 382)","(305, 383)",unknown
1,car,1,98,"(311, 401)","(317, 410)",straight
394,car,99,99,"(191, 365)","(191, 365)",unknown
342,person,85,101,"(71, 325)","(61, 332)",straight
251,bus,56,103,"(481, 208)","(480, 194)",straight
398,car,102,103,"(190, 368)","(190, 369)",unknown
3,car,1,104,"(82, 392)","(81, 413)",straight
306,motorcycle,71,105,"(629, 237)","(647, 247)",straight
408,truck,107,107,"(57, 164)","(57, 164)",unknown
19,person,1,109,"(693, 95)","(694, 95)",straight
374,truck,93,111,"(485, 213)","(480, 195)",straight
427,person,112,115,"(94, 358)","(91, 378)",unknown
444,person,115,119,"(50, 354)","(49, 349)",straight
469,truck,119,120,"(186, 377)","(186, 378)",unknown
13,car,1,121,"(186, 49)","(200, 39)",straight
104,bus,23,121,"(382, 188)","(381, 196)",straight
454,bicycle,116,122,"(667, 258)","(670, 262)",straight
476,car,121,123,"(105, 310)","(105, 313)",unknown
483,truck,123,124,"(185, 379)","(184, 380)",unknown
482,bus,123,132,"(710, 275)","(710, 272)",straight
456,person,117,133,"(89, 369)","(73, 388)",straight
426,motorcycle,112,134,"(96, 392)","(75, 418)",straight
506,bus,128,134,"(383, 183)","(382, 185)",straight
512,person,129,135,"(682, 95)","(683, 94)",straight
2,bus,1,139,"(737, 321)","(756, 331)",straight
10,person,1,139,"(730, 78)","(729, 79)",straight
385,person,97,140,"(662, 242)","(679, 269)",straight
502,car,127,140,"(104, 318)","(97, 326)",straight
524,motorcycle,134,141,"(129, 382)","(125, 391)",straight
297,motorcycle,68,142,"(52, 383)","(31, 411)",straight
509,person,128,142,"(593, 116)","(592, 116)",straight
8,car,1,146,"(535, 407)","(567, 423)",straight
542,person,147,150,"(689, 253)","(689, 254)",unknown
20,car,1,152,"(311, 389)","(312, 398)",straight
401,truck,104,152,"(491, 224)","(489, 218)",straight
548,truck,154,154,"(105, 118)","(105, 118)",unknown
546,truck,153,155,"(174, 392)","(174, 393)",unknown
32,bus,1,158,"(455, 101)","(455, 102)",straight
303,person,70,158,"(79, 393)","(42, 416)",straight
315,car,76,164,"(619, 192)","(624, 197)",straight
571,truck,160,165,"(245, 158)","(245, 160)",straight
258,bus,57,170,"(486, 209)","(488, 215)",straight
480,bus,122,171,"(383, 183)","(383, 205)",straight
433,bus,113,173,"(498, 90)","(499, 82)",straight
34,car,1,174,"(718, 407)","(737, 420)",straight
519,person,132,176,"(26, 395)","(13, 415)",straight
601,bicycle,170,177,"(702, 283)","(708, 268)",straight
538,bus,143,181,"(382, 155)","(381, 161)",straight
627,truck,180,185,"(72, 365)","(70, 371)",straight
594,truck,167,189,"(383, 213)","(384, 209)",straight
241,car,53,190,"(315, 209)","(313, 196)",straight
520,person,133,193,"(249, 390)","(241, 405)",straight
140,person,32,199,"(105, 393)","(76, 414)",straight
629,person,181,200,"(710, 256)","(724, 275)",straight
676,truck,199,200,"(59, 379)","(57, 380)",unknown
36,car,1,205,"(165, 403)","(158, 421)",straight
705,person,212,213,"(662, 231)","(662, 229)",unknown
683,motorcycle,206,214,"(734, 298)","(740, 303)",straight
7,car,1,219,"(177, 23)","(201, 14)",straight
604,bus,171,219,"(488, 190)","(499, 232)",straight
672,bicycle,197,220,"(725, 294)","(743, 305)",straight
28,person,1,222,"(245, 387)","(236, 425)",straight
669,car,196,229,"(361, 138)","(364, 140)",straight
4,car,1,231,"(210, 30)","(221, 24)",straight
620,person,179,245,"(740, 286)","(757, 293)",straight
507,bus,128,250,"(748, 58)","(748, 58)",straight
