frame,turn_0,turn_1
1,36,28
2,36,28
3,35,29
4,34,29
5,33,29
6,32,29
7,34,30
8,32,31
9,36,31
10,36,30
11,35,30
12,35,30
13,33,30
14,36,29
15,35,29
16,35,29
17,35,29
18,32,28
19,32,28
20,33,28
21,34,28
22,36,27
23,33,27
24,34,27
25,34,27
26,34,26
27,38,26
28,36,26
29,37,26
30,34,26
31,34,27
32,34,27
33,34,28
34,34,28
35,33,28
36,34,29
37,37,28
38,36,28
39,37,28
40,36,29
41,34,29
42,34,29
43,32,29
44,35,29
45,36,28
46,38,28
47,40,28
48,34,29
49,36,29
50,37,29
51,37,29
52,35,29
53,39,29
54,40,29
55,40,29
56,38,30
57,37,30
58,37,29
59,38,29
60,37,29
61,37,29
62,40,29
63,38,29
64,36,29
65,37,29
66,40,27
67,40,27
68,36,28
69,37,27
70,37,28
71,37,29
72,35,29
73,36,29
74,34,29
75,36,29
76,36,28
77,36,28
78,37,28
79,37,29
80,37,29
81,35,30
82,37,30
83,37,30
84,37,30
85,36,29
86,37,29
87,36,30
88,36,30
89,34,30
90,34,31
91,29,31
92,33,30
93,35,30
94,34,30
95,31,29
96,32,29
97,32,29
98,27,29
99,31,30
100,31,31
101,32,32
102,32,32
103,30,30
104,30,30
105,30,30
106,30,30
107,31,29
108,32,29
109,32,29
110,32,28
111,31,28
112,30,29
113,30,30
114,30,31
115,29,30
116,30,29
117,29,28
118,30,27
119,31,28
120,32,27
121,32,26
122,33,26
123,31,26
124,32,26
125,32,26
126,32,25
127,33,25
128,33,26
129,33,25
130,32,25
131,31,25
132,31,25
133,32,25
134,30,25
135,31,26
136,28,26
137,28,25
138,29,25
139,29,25
140,29,25
141,24,26
142,26,27
143,26,27
144,26,28
145,26,28
146,27,28
147,26,26
148,30,27
149,29,26
150,29,27
151,29,27
152,32,27
153,32,27
154,32,27
155,33,27
156,31,27
157,31,27
158,31,26
159,32,27
160,32,29
161,33,29
162,34,29
163,34,29
164,32,31
165,34,30
166,35,32
167,32,31
168,33,32
169,33,31
170,34,28
171,32,30
172,33,30
173,33,31
174,32,32
175,33,33
176,28,33
177,28,33
178,29,33
179,28,34
180,26,34
181,29,34
182,29,34
183,29,35
184,34,36
185,35,35
186,36,35
187,37,34
188,37,35
189,38,35
190,37,35
191,36,34
192,35,33
193,36,33
194,36,32
195,38,30
196,36,31
197,36,33
198,36,31
199,36,31
200,36,31
201,35,32
202,35,32
203,34,32
204,33,34
205,34,34
206,32,35
207,36,35
208,34,33
209,32,32
210,32,32
211,33,33
212,35,34
213,35,34
214,33,34
215,32,33
216,31,32
217,34,32
218,34,32
219,36,32
220,37,32
221,38,33
222,37,33
223,36,33
224,36,34
225,35,34
226,34,33
227,35,32
228,35,33
229,34,33
230,34,34
231,35,34
232,35,33
233,35,33
234,35,33
235,36,32
236,32,32
237,35,32
238,34,32
239,33,31
240,35,32
241,34,31
242,34,30
243,33,31
244,31,32
245,31,32
246,31,32
247,30,32
248,32,32
249,34,30
250,34,31
251,32,32
252,35,33
253,35,33
254,36,31
255,35,31
256,36,31
257,35,32
258,35,32
259,33,32
260,35,32
261,32,32
262,33,32
263,32,32
264,34,30
265,32,30
266,35,30
267,36,30
268,37,30
269,37,31
270,36,33
271,35,35
272,35,35
273,35,33
274,36,33
275,37,34
276,36,35
277,36,35
278,37,34
279,36,35
280,35,33
281,34,34
282,34,31
283,36,33
284,37,33
285,35,32
286,36,32
287,37,30
288,37,30
289,35,29
290,37,27
291,36,27
292,36,27
293,35,27
294,35,27
295,35,27
296,36,27
297,36,27
298,35,28
299,34,29
300,36,29
301,36,30
302,36,30
303,36,28
304,35,29
305,38,29
306,34,29
307,36,29
308,33,29
309,33,31
310,33,28
311,32,29
312,32,29
313,31,29
314,28,28
315,30,28
316,31,28
317,32,28
318,31,28
319,31,28
320,31,28
321,30,27
322,32,28
323,33,27
324,33,26
325,35,26
326,37,26
327,36,27
328,38,27
329,34,26
330,33,27
331,33,27
332,35,28
333,33,29
334,32,28
335,32,28
336,31,29
337,32,30
338,30,31
339,32,31
340,33,30
341,32,30
342,30,30
343,31,31
344,31,31
345,32,31
346,32,31
347,30,31
348,31,32
349,33,33
350,33,33
351,32,33
352,33,33
353,33,32
354,35,32
355,35,32
356,32,29
357,31,30
358,32,30
359,32,30
360,31,30
361,32,30
362,33,29
363,34,28
364,33,28
365,33,29
366,35,29
367,35,28
368,32,28
369,33,30
370,31,30
371,35,29
372,37,29
373,34,27
374,36,27
375,36,27
376,35,27
377,36,26
378,36,26
379,37,28
380,36,26
381,33,27
382,33,27
383,33,28
384,32,29
385,32,29
386,34,29
387,34,28
388,34,28
389,31,27
390,32,27
391,31,25
392,30,26
393,27,26
394,29,25
