id,class,start_frame,end_frame,start_xy,end_xy,turn
83,truck,1,2,"(344, 104)","(344, 104)",unknown
78,motorcycle,1,3,"(311, 62)","(310, 61)",unknown
90,motorcycle,1,3,"(258, 26)","(258, 24)",unknown
79,motorcycle,1,8,"(258, 29)","(257, 25)",turn_0
54,truck,1,9,"(13, 138)","(13, 138)",turn_0
73,bus,1,9,"(475, 220)","(475, 222)",turn_1
142,bicycle,9,12,"(50, 341)","(48, 343)",unknown
148,bus,10,12,"(304, 198)","(306, 195)",unknown
77,motorcycle,4,14,"(258, 24)","(257, 22)",turn_0
182,truck,14,14,"(13, 138)","(13, 138)",unknown
40,motorcycle,1,15,"(507, 418)","(502, 422)",turn_1
87,bicycle,1,15,"(32, 346)","(23, 354)",turn_0
69,truck,1,17,"(283, 8)","(278, 7)",turn_0
93,bus,3,17,"(440, 119)","(440, 115)",turn_1
146,truck,9,17,"(281, 8)","(278, 7)",turn_0
185,car,14,17,"(256, 222)","(257, 219)",unknown
168,motorcycle,12,19,"(284, 127)","(285, 126)",turn_0
46,bus,1,21,"(384, 265)","(384, 262)",turn_1
249,bus,21,22,"(8, 218)","(8, 218)",unknown
255,truck,22,24,"(13, 138)","(14, 138)",unknown
296,truck,27,27,"(14, 139)","(14, 139)",unknown
236,bus,20,29,"(319, 76)","(316, 73)",turn_0
293,bicycle,27,29,"(39, 280)","(38, 280)",unknown
299,truck,27,29,"(304, 329)","(303, 329)",unknown
97,motorcycle,30,30,"(109, 332)","(109, 332)",unknown
292,car,27,34,"(39, 139)","(38, 139)",turn_0
136,bus,8,36,"(432, 84)","(433, 85)",turn_1
34,bicycle,1,37,"(30, 348)","(9, 361)",turn_0
61,bus,1,38,"(260, 7)","(256, 4)",turn_0
394,truck,39,39,"(333, 137)","(333, 137)",unknown
397,car,39,42,"(157, 353)","(166, 346)",unknown
328,bus,31,44,"(454, 321)","(453, 322)",turn_1
437,car,45,46,"(120, 150)","(120, 150)",unknown
279,motorcycle,25,47,"(249, 288)","(296, 239)",turn_0
382,bus,37,47,"(305, 89)","(305, 87)",turn_0
435,bus,45,47,"(327, 164)","(328, 162)",unknown
451,truck,47,47,"(13, 138)","(13, 138)",unknown
422,car,43,50,"(312, 68)","(310, 65)",turn_0
134,motorcycle,48,50,"(438, 418)","(438, 418)",unknown
473,bus,50,50,"(329, 160)","(329, 160)",unknown
428,car,44,51,"(235, 4)","(235, 4)",turn_0
111,motorcycle,5,55,"(101, 101)","(104, 106)",turn_0
75,car,53,55,"(8, 352)","(9, 354)",unknown
71,bus,1,57,"(435, 250)","(433, 252)",turn_1
502,motorcycle,53,58,"(305, 245)","(309, 239)",unknown
